type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Control,53,45,5-Extremely,Small (5-99),Insurance,Closed,164,2.9,2,Ottawa
Control,42,48,5-Extremely,Micro (1-4),Paying vendors,Closed,158,3.4,2,Toronto
Control,34,37,4-Very,Small (5-99),Payroll,Closed,464,4.2,2,Toronto
Control,39,46,5-Extremely,Small (5-99),Insurance,Closed,227,3.9,2,Hamilton
Control,44,46,3-Moderately,Micro (1-4),Paying vendors,Closed,295,2.8,2,London
Control,41,42,5-Extremely,Small (5-99),Insurance,Closed,423,2.8,3,London
Control,41,43,5-Extremely,Micro (1-4),Insurance,Closed,393,3.2,2,Thunder Bay
Control,39,42,1-Not at all,Micro (1-4),Rent,New,298,3.4,1,Hamilton
Control,43,44,5-Extremely,Micro (1-4),Paying vendors,Closed,49,3.8,2,Toronto
Control,29,50,2-Slightly,Small (5-99),Business taxes,Closed,419,3,2,Toronto
Control,36,52,3-Moderately,Medium (100-499),Paying vendors,Open,291,4.2,2,Toronto
Control,31,45,5-Extremely,Small (5-99),Rent,Open,442,3.4,2,Hamilton
Control,28,46,2-Slightly,Micro (1-4),Rent,Closed,170,2.7,2,Hamilton
Control,36,44,5-Extremely,Small (5-99),Rent,Closed,123,3.1,2,Toronto
Control,26,50,5-Extremely,Small (5-99),Rent,Closed,449,3.1,2,Ottawa
Control,36,47,4-Very,Small (5-99),Paying vendors,Closed,484,4.1,1,Thunder Bay
Control,48,38,3-Moderately,Micro (1-4),Rent,Closed,236,3.3,2,Toronto
Control,38,41,4-Very,Micro (1-4),Rent,Closed,354,3.7,2,Toronto
Control,32,42,4-Very,Micro (1-4),Rent,Closed,340,3.3,1,London
Control,35,35,4-Very,Small (5-99),Rent,Closed,457,4.2,2,Ottawa
Control,34,46,5-Extremely,Small (5-99),Paying vendors,Closed,112,4.1,2,Toronto
Control,46,49,1-Not at all,Small (5-99),Paying vendors,Closed,10,3.1,2,Ottawa
Control,31,49,4-Very,Small (5-99),Payroll,Closed,275,3.1,3,Toronto
Control,34,46,2-Slightly,Small (5-99),Rent,Closed,286,3.6,2,Hamilton
Control,40,41,5-Extremely,Small (5-99),Business taxes,Closed,435,3.3,2,Toronto
Control,39,48,4-Very,Small (5-99),Insurance,Closed,272,3.5,1,Toronto
Control,50,39,3-Moderately,Small (5-99),Business taxes,Closed,296,3.2,2,Toronto
Control,35,42,5-Extremely,Micro (1-4),Paying vendors,Closed,134,3.4,1,Toronto
Control,44,45,5-Extremely,Micro (1-4),Payroll,Closed,316,3.6,2,Toronto
Control,34,37,4-Very,Small (5-99),Paying vendors,Closed,2,3,2,Toronto
Control,43,35,4-Very,Small (5-99),Payroll,Closed,260,2.8,3,Toronto
Control,35,49,3-Moderately,Small (5-99),Business taxes,Open,155,3.1,2,London
Control,39,46,5-Extremely,Micro (1-4),Payroll,Closed,477,3.3,2,Ottawa
Control,47,42,3-Moderately,Small (5-99),Paying vendors,Closed,154,3.2,2,Toronto
Control,41,57,3-Moderately,Micro (1-4),Paying vendors,Closed,356,2.8,2,Hamilton
Control,31,41,4-Very,Small (5-99),Business taxes,Closed,128,3.4,2,Ottawa
Control,40,41,3-Moderately,Medium (100-499),Paying vendors,Closed,473,3.4,2,Toronto
Control,33,35,2-Slightly,Micro (1-4),Paying vendors,Closed,277,3.7,2,Toronto
Control,30,48,3-Moderately,Small (5-99),Paying vendors,Closed,112,3.2,2,Toronto
Control,28,46,2-Slightly,Small (5-99),Paying vendors,Closed,106,4,3,Toronto
Control,39,41,4-Very,Micro (1-4),Insurance,Closed,323,3,2,Toronto
Control,32,42,5-Extremely,Small (5-99),Rent,Closed,380,2.4,1,London
Control,36,37,5-Extremely,Small (5-99),Rent,Closed,331,3.7,2,London
Control,30,49,3-Moderately,Small (5-99),Insurance,Closed,428,3.5,2,Toronto
Control,39,55,5-Extremely,Small (5-99),Paying vendors,Closed,368,3.9,2,Thunder Bay
Control,41,47,5-Extremely,Small (5-99),Insurance,Closed,465,3.8,3,Toronto
Control,49,44,5-Extremely,Small (5-99),Paying vendors,Closed,106,4,2,Toronto
Control,50,53,5-Extremely,Small (5-99),Payroll,Open,206,2.9,2,Toronto
Control,33,57,4-Very,Micro (1-4),Payroll,Closed,420,4.1,3,Toronto
Control,39,55,4-Very,Small (5-99),Paying vendors,Closed,173,3.5,3,Ottawa
Control,35,48,4-Very,Micro (1-4),Business taxes,Closed,432,4,2,Ottawa
Control,42,44,3-Moderately,Micro (1-4),Rent,Closed,58,2.7,2,Ottawa
Control,41,44,5-Extremely,Micro (1-4),Rent,Open,101,4.3,2,Toronto
Control,31,37,3-Moderately,Small (5-99),Business taxes,Closed,289,4.2,2,Ottawa
Control,34,42,4-Very,Small (5-99),Paying vendors,Closed,499,3,1,Toronto
Control,30,49,5-Extremely,Micro (1-4),Rent,Closed,177,3.3,2,Hamilton
Control,38,48,3-Moderately,Small (5-99),Rent,Closed,392,2.3,3,London
Control,42,51,4-Very,Micro (1-4),Business taxes,Closed,475,3.7,2,Toronto
Control,48,54,5-Extremely,Small (5-99),Paying vendors,Closed,336,3.2,2,Toronto
Control,37,42,3-Moderately,Small (5-99),Payroll,Closed,194,3.5,3,Hamilton
Control,39,49,4-Very,Small (5-99),Payroll,Closed,384,3.9,1,Toronto
Control,33,45,5-Extremely,Small (5-99),Business taxes,Closed,431,3.9,2,Toronto
Control,36,47,4-Very,Micro (1-4),Rent,Closed,269,4.1,3,London
Control,36,49,3-Moderately,Small (5-99),Rent,New,288,2.9,3,London
Control,29,40,4-Very,Small (5-99),Paying vendors,Closed,0,3.6,1,Ottawa
Control,24,45,2-Slightly,Small (5-99),Rent,Closed,158,3.9,3,Toronto
Control,36,46,4-Very,Small (5-99),Rent,Closed,288,3.5,3,Toronto
Control,46,50,4-Very,Small (5-99),Insurance,Closed,324,3.7,2,Toronto
Control,43,47,3-Moderately,Small (5-99),Rent,Closed,356,3.6,1,Ottawa
Control,46,35,2-Slightly,Small (5-99),Business taxes,Closed,158,3.4,2,Toronto
Control,53,58,3-Moderately,Small (5-99),Paying vendors,Closed,385,3.5,2,Toronto
Control,37,48,4-Very,Small (5-99),Business taxes,Closed,275,3.3,2,Toronto
Control,35,48,5-Extremely,Micro (1-4),Payroll,Closed,158,4.9,2,Toronto
Control,42,44,4-Very,Small (5-99),Business taxes,Closed,6,2.9,2,Toronto
Control,45,46,3-Moderately,Small (5-99),Business taxes,Closed,465,3.2,1,Toronto
Control,46,43,4-Very,Small (5-99),Rent,Closed,363,3.9,3,Toronto
Control,35,43,4-Very,Small (5-99),Payroll,Closed,494,3.3,2,Toronto
Control,35,42,5-Extremely,Micro (1-4),Rent,Closed,111,3.6,1,Toronto
Control,37,47,2-Slightly,Micro (1-4),Business taxes,Closed,496,3.1,2,Toronto
Control,38,43,5-Extremely,Micro (1-4),Paying vendors,Closed,211,3.7,2,Ottawa
Control,31,48,3-Moderately,Small (5-99),Paying vendors,Closed,46,3.7,2,Hamilton
Control,39,43,4-Very,Small (5-99),Business taxes,Closed,401,3.6,3,Toronto
Control,42,50,5-Extremely,Small (5-99),Business taxes,Closed,215,2.5,2,Toronto
Control,34,49,5-Extremely,Small (5-99),Insurance,Closed,40,4,1,Toronto
Control,23,47,5-Extremely,Small (5-99),Business taxes,Closed,459,3.7,3,London
Control,38,45,3-Moderately,Small (5-99),Payroll,Closed,288,4.1,1,Toronto
Control,34,51,2-Slightly,Small (5-99),Rent,Closed,104,3.4,1,London
Control,30,37,4-Very,Small (5-99),Business taxes,Open,349,3.8,3,Ottawa
Control,46,50,5-Extremely,Small (5-99),Rent,Closed,438,3.5,2,Toronto
Control,40,41,4-Very,Small (5-99),Business taxes,Closed,213,3.3,3,Toronto
Control,26,44,3-Moderately,Small (5-99),Paying vendors,Closed,310,3.5,2,Toronto
Control,36,47,5-Extremely,Small (5-99),Business taxes,Closed,113,3.7,3,London
Control,28,40,3-Moderately,Small (5-99),Payroll,Closed,468,2.8,1,Hamilton
Control,36,43,5-Extremely,Small (5-99),Rent,Closed,76,2.7,1,London
Control,43,49,2-Slightly,Small (5-99),Rent,Closed,440,2.4,2,Toronto
Control,28,47,5-Extremely,Small (5-99),Paying vendors,Closed,252,2.6,2,Hamilton
Control,45,38,3-Moderately,Small (5-99),Rent,Closed,110,2.4,2,Toronto
Control,45,39,2-Slightly,Small (5-99),Rent,Closed,223,3.6,2,Ottawa
Control,38,44,4-Very,Micro (1-4),Rent,Closed,208,3.5,2,Toronto
Control,31,50,3-Moderately,Small (5-99),Insurance,Closed,57,3.7,2,Toronto
Control,36,41,3-Moderately,Small (5-99),Business taxes,Closed,408,3.9,2,Toronto
Control,37,41,3-Moderately,Small (5-99),Business taxes,Closed,54,3.6,1,Toronto
Control,31,44,4-Very,Small (5-99),Insurance,Closed,138,3.8,2,Toronto
Control,35,48,5-Extremely,Small (5-99),Insurance,Closed,142,3.8,2,Hamilton
Control,43,52,5-Extremely,Small (5-99),Paying vendors,Closed,5,2.8,2,Toronto
Control,47,40,5-Extremely,Small (5-99),Paying vendors,Closed,326,3.9,1,Toronto
Control,44,44,3-Moderately,Small (5-99),Rent,Closed,48,2.9,2,Toronto
Control,26,45,4-Very,Small (5-99),Payroll,Closed,314,3.3,2,Toronto
Control,36,35,5-Extremely,Small (5-99),Insurance,Closed,309,4,2,Toronto
Control,35,45,4-Very,Micro (1-4),Payroll,Closed,4,2.5,3,Toronto
Control,38,49,5-Extremely,Micro (1-4),Insurance,Closed,110,3.5,2,Toronto
Control,38,39,4-Very,Small (5-99),Rent,Closed,208,3.6,3,London
Control,45,45,4-Very,Micro (1-4),Payroll,Closed,376,3.6,2,London
Control,46,46,3-Moderately,Small (5-99),Rent,Closed,396,4.6,2,Ottawa
Control,31,40,5-Extremely,Small (5-99),Paying vendors,Closed,14,3.8,2,Hamilton
Control,41,35,4-Very,Small (5-99),Payroll,Closed,482,4.4,2,Toronto
Control,33,45,5-Extremely,Small (5-99),Insurance,New,219,3.5,2,London
Control,36,45,4-Very,Small (5-99),Paying vendors,Closed,262,2.9,2,Ottawa
Control,28,53,3-Moderately,Micro (1-4),Rent,Closed,367,3.7,2,Hamilton
Control,36,37,4-Very,Medium (100-499),Business taxes,Closed,122,3.7,2,Ottawa
Control,45,49,4-Very,Small (5-99),Rent,Open,381,3.5,2,Toronto
Control,47,44,1-Not at all,Small (5-99),Payroll,Closed,278,3.3,1,Hamilton
Control,37,53,4-Very,Micro (1-4),Business taxes,Closed,9,3.3,2,Toronto
Control,23,55,5-Extremely,Small (5-99),Rent,Closed,109,3.8,2,Ottawa
Control,44,43,5-Extremely,Small (5-99),Business taxes,Closed,413,3.7,2,London
Control,32,44,5-Extremely,Small (5-99),Business taxes,Closed,33,4.2,2,Toronto
Control,35,48,3-Moderately,Small (5-99),Rent,Closed,370,3.9,2,Toronto
Control,36,47,3-Moderately,Small (5-99),Insurance,Closed,384,3.7,2,Ottawa
Control,36,48,5-Extremely,Small (5-99),Business taxes,Closed,193,4.1,2,Hamilton
Control,36,41,5-Extremely,Small (5-99),Business taxes,Closed,236,3.6,2,Toronto
Control,35,40,4-Very,Micro (1-4),Paying vendors,Closed,273,3.6,1,Toronto
Control,49,47,4-Very,Small (5-99),Payroll,Closed,51,3.8,2,Hamilton
Control,39,38,4-Very,Small (5-99),Paying vendors,New,90,2.2,2,Toronto
Control,38,47,4-Very,Micro (1-4),Rent,Closed,343,3.8,1,Toronto
Control,31,49,5-Extremely,Micro (1-4),Business taxes,Closed,368,2.8,3,Toronto
Control,37,41,5-Extremely,Micro (1-4),Paying vendors,Closed,333,3.3,2,Ottawa
Control,41,46,5-Extremely,Small (5-99),Paying vendors,Closed,149,2.9,2,London
Control,39,50,5-Extremely,Small (5-99),Insurance,Closed,79,3.3,3,Ottawa
Control,21,44,4-Very,Micro (1-4),Business taxes,Closed,403,3.5,1,Hamilton
Control,38,52,4-Very,Small (5-99),Insurance,Closed,67,2.7,2,Toronto
Control,35,49,5-Extremely,Small (5-99),Payroll,Closed,382,4.2,3,Toronto
Control,43,49,5-Extremely,Medium (100-499),Payroll,Closed,490,3.5,2,Toronto
Control,42,46,5-Extremely,Small (5-99),Payroll,Closed,389,3,2,Toronto
Control,30,54,5-Extremely,Micro (1-4),Rent,Closed,61,3.4,1,Ottawa
Control,34,33,4-Very,Small (5-99),Insurance,Closed,142,3.2,2,Ottawa
Control,34,40,2-Slightly,Small (5-99),Paying vendors,Closed,42,3.3,2,Toronto
Control,41,47,5-Extremely,Small (5-99),Paying vendors,Closed,377,3.7,2,London
Control,28,48,5-Extremely,Small (5-99),Payroll,Closed,385,3.1,2,Toronto
Control,30,41,3-Moderately,Small (5-99),Insurance,Closed,490,3.7,2,London
Control,39,49,5-Extremely,Micro (1-4),Rent,Closed,236,3.2,2,Toronto
Control,32,43,3-Moderately,Small (5-99),Rent,Closed,30,3.3,2,Toronto
Control,41,48,5-Extremely,Small (5-99),Insurance,Closed,153,4.5,1,Toronto
Control,28,44,2-Slightly,Micro (1-4),Paying vendors,Closed,431,3.3,2,Toronto
Control,39,43,5-Extremely,Small (5-99),Paying vendors,Closed,121,4,2,Toronto
Control,35,45,3-Moderately,Small (5-99),Payroll,Closed,35,3.7,2,Toronto
Control,39,43,4-Very,Micro (1-4),Paying vendors,Closed,72,3.2,2,Ottawa
Control,35,48,4-Very,Micro (1-4),Payroll,Closed,135,3.5,1,Ottawa
Control,36,46,4-Very,Small (5-99),Payroll,Closed,391,3.1,2,Ottawa
Control,36,43,5-Extremely,Small (5-99),Payroll,Closed,10,2.6,2,Thunder Bay
Control,27,44,4-Very,Small (5-99),Business taxes,Closed,327,3.1,2,Ottawa
Control,40,47,5-Extremely,Small (5-99),Insurance,Closed,25,3.1,3,Toronto
Control,35,41,3-Moderately,Small (5-99),Rent,Closed,287,3.5,2,London
Control,36,41,5-Extremely,Small (5-99),Insurance,Closed,423,2.8,2,Toronto
Control,43,41,2-Slightly,Micro (1-4),Rent,Closed,340,2.5,3,Toronto
Control,33,55,3-Moderately,Small (5-99),Insurance,Closed,61,4.2,1,Ottawa
Control,35,45,3-Moderately,Small (5-99),Paying vendors,Closed,489,4,2,Toronto
Control,41,49,5-Extremely,Small (5-99),Insurance,Closed,236,3.2,1,London
Control,41,54,5-Extremely,Small (5-99),Business taxes,Open,496,4.9,1,Toronto
Control,50,50,5-Extremely,Small (5-99),Paying vendors,Closed,269,4,3,Toronto
Control,28,29,5-Extremely,Small (5-99),Rent,Closed,390,2.6,3,Toronto
Control,28,58,1-Not at all,Small (5-99),Business taxes,Closed,111,3.2,2,Toronto
Control,29,48,3-Moderately,Small (5-99),Insurance,Closed,140,3.4,2,Toronto
Control,30,36,5-Extremely,Small (5-99),Insurance,Closed,159,3.6,2,Ottawa
Control,33,44,5-Extremely,Micro (1-4),Rent,Closed,466,3.2,2,Hamilton
Control,54,45,3-Moderately,Small (5-99),Rent,Closed,57,3.3,1,Ottawa
Control,36,43,5-Extremely,Micro (1-4),Paying vendors,Closed,465,4,2,London
Control,37,50,5-Extremely,Small (5-99),Business taxes,Closed,5,3.9,1,Toronto
Control,42,50,4-Very,Small (5-99),Insurance,Closed,329,4.3,2,London
Control,37,41,3-Moderately,Micro (1-4),Paying vendors,Closed,158,3.5,2,Thunder Bay
Control,35,47,5-Extremely,Micro (1-4),Rent,Closed,471,3.8,2,London
Control,32,38,4-Very,Micro (1-4),Paying vendors,Closed,239,3.9,2,Toronto
Control,36,48,5-Extremely,Small (5-99),Business taxes,Closed,398,4.9,2,Ottawa
Control,34,34,4-Very,Small (5-99),Insurance,Closed,326,3.9,3,Ottawa
Control,43,44,5-Extremely,Micro (1-4),Rent,Closed,496,3.6,2,Ottawa
Control,36,49,4-Very,Micro (1-4),Insurance,Closed,91,3.3,2,Toronto
Control,39,45,4-Very,Micro (1-4),Business taxes,Closed,232,3.9,2,Ottawa
Control,46,43,5-Extremely,Small (5-99),Insurance,Closed,210,3.9,1,Toronto
Control,37,41,3-Moderately,Small (5-99),Business taxes,Closed,393,3,2,Toronto
Control,39,40,4-Very,Micro (1-4),Business taxes,Closed,413,4.1,1,Ottawa
Control,49,48,5-Extremely,Small (5-99),Paying vendors,Closed,350,3.8,2,Thunder Bay
Control,52,46,5-Extremely,Micro (1-4),Insurance,Closed,326,2.9,1,Ottawa
Control,28,46,5-Extremely,Small (5-99),Rent,Closed,92,3.6,2,Toronto
Control,49,43,2-Slightly,Small (5-99),Insurance,Closed,119,3.8,2,Toronto
Control,37,46,3-Moderately,Small (5-99),Rent,Closed,285,4.3,2,Hamilton
Control,38,44,5-Extremely,Small (5-99),Paying vendors,Closed,397,4.4,3,Ottawa
Control,30,44,4-Very,Small (5-99),Rent,Closed,145,4,2,London
Control,43,41,4-Very,Micro (1-4),Paying vendors,Closed,421,3.3,2,Toronto
